Unnamed: 0,word,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005
0,the,-1.754866876052247,-0.3453064728839453,-0.38774983118253864,-0.058624464366885565,-1.4421521723526793,-1.2562179157673858,-0.7454131230762464,-1.6923918466286645,-1.3612994375384049,-1.6922686285380875,-1.3449559805111697,-0.6246494771450506,-0.9092816948505308,-1.2603809190304884,-0.663910230177565,-0.4092714302925526,0.0282994959707121,-0.5028962043722063,-1.3126210947376429,-0.8127815323878707,-1.3911430922580266,0.2897284912766416
1,to,0.15327714247103288,-1.0917039090166578,-1.53254935689551,-1.3359962501571658,-1.533062634946708,-0.5848796550423094,-1.2782464216217349,-1.114402101445165,-0.4698358792021914,-1.266742055769774,-1.0754881947518689,-0.6692391488642382,-1.1410422821579491,-0.33982736242188505,-0.8883104880597628,-1.3473457259032262,-0.4122873553666776,-0.41658731897459755,0.46991480861051044,-0.12708458981519524,0.11967636510192492,2.261671446972123
2,of,1.1073491517369696,-1.4615807132516143,-1.3092374665334594,-1.3302564532125085,-0.9635757601861865,-1.5332120212947375,-0.861575746755188,-0.5559229066328155,-0.83979618108369,-0.8840820644289235,-0.8260770951576646,-0.9137844806806067,-1.0633943356719189,-0.12021248441011356,-0.8724434125967655,-0.8909484989872165,-0.9467536172786944,-0.8971988094015863,-0.8675537172473948,-1.0768069279845858,-1.369532566780511,-0.07354260518004499
3,and,0.15327714247103288,-1.241143712505532,-0.6365773799469051,-1.1262948651939193,-0.356486736784169,-1.0368061132289603,-0.852012148358324,-0.2005323528761627,-0.5596237971597684,0.0886023044751954,-0.22275241042971736,-0.2906252934839781,-1.0090072122621367,-1.0587470520678934,-0.4043113595594392,-0.09483152478211039,-0.39766124361881433,-0.14517790689706273,0.07256167449827973,-0.1393189129112685,0.030141236530843742,1.1493663336209188
4,he,0.15327714247103288,-0.8888694324203874,-1.1153130789746253,-1.227638311771854,-1.3082850334135934,-1.3650472139764078,-1.3499466952287078,-1.3228503431890661,-0.2576539994680759,0.0910444082371138,-0.3241066247380689,-0.6584875184176419,0.14123045343155294,-0.4806847847469701,0.6660506406148609,0.3439866172569508,-0.8237106358809612,1.2361417583865804,1.4591742172332398,1.1571307845627454,1.6277045297870947,1.672197364553728
5,not,0.15327714247103288,-0.9985492938424677,-1.2702294887624475,-1.2379284100933134,-1.1492993893007881,-1.8576366769780341,-1.149868214834113,-0.25852523387770937,-1.3763480120254987,-1.3466884747596215,-1.2113920055421932,-1.4087553703592537,-0.1695808682633458,-0.8867274844610631,-0.03776765945998351,-0.5803119439172028,-0.4153569718465446,-0.5167305953793285,0.34997905175945165,-0.3198133975622191,0.7497751172941663,3.4106003333929666
6,you,0.15327714247103288,-1.578965282931928,-1.391491351112663,-1.2529144012049853,-1.3891786284489118,-1.0560515660742693,-1.0715274161483972,-1.4055675613395227,-0.42596812775914583,-0.8146749421674883,-0.3669940812871894,-0.6443548680310865,-1.0294163441680038,-0.888841158477877,-0.5287196010479488,-0.5398146801289792,0.5535625942953352,0.046211196793944524,-0.18007068605073767,-0.5122129608353193,-0.1975561035780518,1.741310733115394
7,it,-1.754866876052247,-0.5802558452671129,0.34391523363691245,-0.6447840569453446,-0.7677665637822018,0.11227044396076634,-0.1310336666048182,-0.38671173012323007,0.35647804510179626,-0.0032355893924063987,1.435057954348349,0.38296465450309497,-0.07485674896290648,0.041026389138675304,0.23703977750283217,0.5976745446056773,0.38654910282445026,-0.46181940188991755,0.7961943663926576,-0.07687052344950128,0.9560303780894152,2.2724506846252104
8,was,0.15327714247103288,-1.263262162820016,-0.901376935761819,-1.3408360869105496,-0.7977999073226025,-1.6087899393026337,-1.2700350950244297,-1.0487731637102689,-1.4276921164439051,-0.5952326905112707,-1.053525374405405,-0.6373960257873463,-0.8181346119877299,-1.2852088246951836,-1.1319441465843907,-0.73762944417136,-0.3884106413791228,-0.8182812065189049,0.18031319567701035,-0.8382221585158823,-0.5588187969448494,1.1371918402478864
9,in,0.15327714247103288,-0.8677484895966093,-1.2438512731796254,-1.5429794417272902,-1.0104522785722667,-0.7895341254826648,-0.3509724066773482,-1.0516300779650147,-0.42448900038645393,-0.861256459015422,-1.448811767563016,-0.8503541580024678,-0.6129974471286287,-0.9173371053013525,0.2855487903356046,0.2370029095434267,-0.5431307679170702,-0.5689810877704431,-1.153379171478079,-0.557367000493269,-0.9534445528850943,0.4568552745813599
10,she,-1.754866876052247,-1.0587917580589277,-1.0318065061321668,-1.0009196468384398,-0.37874092165175655,-0.47889146465554383,-1.1267077520246556,-1.221662492240748,-1.0548854091525501,-1.5685678781211982,-0.4016324808620205,-0.9702477728628678,-0.658768910601646,-0.8335589442630995,-0.7872108685675768,-0.25479254222750075,-0.03621607625395757,-0.1525703826019447,0.5886639085057345,0.7110870334863659,0.6035492004461205,0.6179870102794894
11,that,0.15327714247103288,-0.8556842227845936,-0.5515200273538693,-0.3997444583821858,-1.5119407629230008,-0.9364622165795593,-1.3512440363207412,-0.3141133387584406,0.0907851180704169,-0.32478344667356746,-0.5827357058974758,-0.24572381672687788,-0.7926443310877537,0.08053264051383931,-0.2689431709720225,0.17528169798615062,0.24740208667358043,1.6190138173038509,1.1758054037940568,-0.5876273370055709,-0.07838441150501592,2.292246342807529
12,her,1.1073491517369696,-1.507309366052362,-1.572405885468965,-0.695955206624234,-0.9495321130679325,-1.8041959719900087,-1.034512295636613,-0.999015079072121,-0.4672119786955795,-0.7956354662399339,-1.4355907456454549,-0.30181382338351576,-0.7478777911088265,-1.138055410640032,-0.5466238866764975,-1.1654488133348353,-0.8636670712265266,-0.707871542665157,-0.7490295487326349,-0.730695808898294,-0.40967347834052703,0.17120886170484143
13,his,0.15327714247103288,-1.9118385916649165,-1.8219555164399488,-1.3101850106281083,-1.8384307687655923,-1.7561191705700747,-0.9382153990376343,-1.3138465423053942,-0.07624761822844259,-1.3428685391910458,-0.9847596748611575,-1.1695799065629657,-1.2398578121518964,-1.1862777519434273,-1.4574953984857137,-0.8156092199038456,-1.6147808822749528,-0.6753134161062673,-0.6253962610837888,-0.7851712407485784,-0.517372490432497,0.015263611246855973
14,had,0.15327714247103288,-1.805223760266537,-1.4914710918129717,-1.3579018805442475,-2.2015126936925595,-2.024492861154934,-1.949212758053914,-1.783800388713866,-1.255620393386332,-1.4637009205796114,-1.6677787646815163,-0.6732706888326075,-0.7646633036423056,-1.8118214389465357,-1.501885641721618,-0.8009800737311199,-0.7714728869537212,-0.6521832674867087,0.7870131196505996,0.29281900371837555,-0.14474880304830423,1.6841155664938585
15,do,0.15327714247103288,-0.10043631971885426,-0.5060114875210617,0.7609595464779197,-0.32223432133041335,0.06538054178598085,-0.3321078700609966,0.49201994743979865,1.9216760546536258,0.5068761133077236,-0.24208743680712783,1.6707332899669929,1.1297265855433072,-0.05443057440487073,1.0379136004876797,1.6507610327601754,1.7211123549279557,2.021038124263778,0.4458552945439687,0.5383475125227287,1.595846931439731,2.3877802576617184
16,for,0.15327714247103288,-1.3080111257030285,-1.3325883180273839,-0.9281688617815222,-0.6534278157993298,-0.36817111752282644,-0.2045636687941554,-0.8108010608074145,-0.7086330098970055,-0.7954456580767922,-0.7711251838093959,-0.44219601388454044,-1.21332863942698,-1.026651885998713,-1.1724099779177133,-0.25771189179614223,-0.028403832539252227,-0.2882093140832607,-1.0150579380546205,-0.23363401094321126,-0.358476749654243,1.1482133740692464
17,on,0.15327714247103288,-0.8520233607172456,-0.32693153040292533,-0.8639379399870557,-0.7743371521335177,-1.1202616925343503,-0.27818007684454954,-0.8372498128739944,-0.11442694550922725,-0.8105622740858099,0.15422132948923234,0.8364393449552099,-0.9052423262983644,0.1907924480710193,-0.08327052798719385,0.03283926795075983,-0.42485510726960624,-0.25913494755782707,0.2614295138546408,0.09977979770330934,-0.3145865624431052,0.572261229919961
18,said,1.1073491517369696,-1.773094995187774,-1.8229207996783903,-1.8552454572068888,-2.103014129610155,-2.0483505075252073,-1.814320586029683,-1.8961818489214417,-2.1198395276061808,-1.4149740405950486,-1.779168092278179,-1.7197378562043169,-1.7244170680513968,-1.473663898640117,-1.6421530199348993,-1.5350394388460094,-1.3161593573425074,-1.4911522548360865,-1.0383699022326003,-1.254433831733032,-1.4050373537572587,-0.6040540180482324
19,as,0.15327714247103288,-0.18091583637440026,-0.6322398062025227,0.05725209704116019,-1.3110600862671362,-0.7120422691287969,-0.32672355748252685,-0.5828696488108681,-0.6521611893447775,-0.32407788074504335,-0.3095797895458867,0.4302459672657693,-0.5767701010047894,-0.16445290672863352,0.2615854217391409,-0.044151764820791924,0.6821102148060805,0.4590546747035077,0.565945114340424,0.6740537179043373,0.7842731620185498,2.0944350220282897
20,be,0.15327714247103288,0.7619472845078156,-0.9368870104103806,-0.5665330341186031,-1.2127389805137012,-0.3730640191275397,-1.3548700389369666,0.1980150569670871,-0.7161042321261879,-0.9085080417174087,-0.38537612550151557,0.1442700539098403,-0.5063971695528056,-1.1137366192154154,-0.9950905743068361,0.1963017209370484,-0.7660496221463335,-0.7847346616876021,-0.7967083969166863,-0.4413056849059792,-0.9229100171686088,0.7265312925959815
21,have,-1.754866876052247,-0.7987462744302362,-1.2759910041065339,-0.18145508125075296,-1.6608618245134414,-1.2358506675508172,-1.321464131916039,-0.9460256733307619,-0.2119412507252989,0.4646137259885762,-0.10710118138024954,0.3761849729935637,-0.3257344321994851,-0.030816965286195003,0.19107980730689142,0.287694767010361,-0.17777029299019914,0.050886617024112714,1.1326702100390789,1.1073623000928665,0.32560740571166075,2.2621891082462837
22,at,2.0614211609943127,-0.15446993042171928,-0.10362176083499407,-0.880884034186692,-1.132809262251939,-0.3851181778914422,-0.29013696518661164,-0.9263135644440909,-0.4153493754272375,-0.8498572568207087,0.37802998298833307,0.2599512753041772,-0.5680967007081897,0.05072246733031917,-0.4373990850680411,-0.2129743579796895,-0.3077618986608441,0.6901332837833516,-0.4065061885021083,-0.742980689344942,0.42319454005114865,1.3782416872053167
23,with,0.15327714247103288,0.0232544348618214,-0.6889886768541018,-0.038279814616220466,-0.6567963296800174,-0.6751752571868523,-1.3973489257409402,-0.07629680853095173,-0.3887525901495742,-0.19615422421222214,-0.22785957287519265,0.4134200694764354,-0.911266839140204,-0.171062827718329,-0.2244694188179329,-0.04047127134733696,-0.16754260587005798,-0.1813492077699599,-0.19507696419866044,-0.277872134043886,-0.8148254144779213,0.3496226218831943
24,but,0.15327714247103288,-0.2812194567340185,-0.7047076992422054,-1.1628500073100259,-0.9654446628881633,-0.44523051588398493,-0.755453190207944,-0.7329880993498561,1.035139877637783,-0.26332420626259384,-1.03380138781023,-0.6591832612444625,-0.2852674370759168,-0.4491038643460139,0.08303247022587189,0.2645957126481564,0.6234714276959625,0.17576359185764034,0.6136499577129909,0.514182837391251,0.04062612463220976,1.202811112731591
25,him,0.15327714247103288,-1.1963690369455426,-0.5105330087966865,-0.793463092605819,-0.9167575918954532,-0.5826319617714334,-1.0184342464633478,-1.0673910264972037,-1.0144799782116964,-0.5268191822664163,-0.622775087537669,-0.8641789226615344,-0.41192248748716476,-0.8366011968224318,-0.527351911365993,-0.7885315363610651,-0.04864629956857046,-1.0719993632380953,-0.9652657365476347,-0.8736985105813064,-0.7516126786977553,0.05238814028822733
